status,canonical_name,display_name,raw_names,months,visits,naver_title,category,address,road_address,lat,lng,candidate_count,region_ok,category_ok,query,note
pending,아람보쌈족발,아람보쌈족발,아람보쌈족발,2026-07,1,아람보쌈족발,"한식>족발,보쌈",충청북도 청주시 흥덕구 강내면 탑연리 178-8 아람보쌈족발,충청북도 청주시 흥덕구 강내면 탑연1길 7-12 아람보쌈족발,36.6224557,127.3592658,1,yes,yes,청주 아람보쌈족발,region=청주
pending,에브리앙,에브리앙,에브리앙,2026-07,1,에브리앙,음식점>브런치,충청북도 청주시 흥덕구 강내면 황탄리 4-1 1층 에브리앙 브런치 카페,충청북도 청주시 흥덕구 강내면 황탄리길 236 1층 에브리앙 브런치 카페,36.605433,127.3537026,1,yes,yes,청주 에브리앙,region=청주
pending,연화낙지,연화낙지,연화낙지,2026-07,1,연화낙지,음식점>한식,충청북도 청주시 흥덕구 오송읍 연제리 766,충청북도 청주시 흥덕구 오송읍 연제길 12,36.6254649,127.3251002,1,yes,yes,청주 연화낙지,region=청주
pending,오복누룽지삼계탕,오복누룽지삼계탕,오복누룽지삼계탕,2026-07,1,오복누룽지삼계탕 청주성화점,"한식>백숙,삼계탕",충청북도 청주시 서원구 죽림동 77-3 1층,충청북도 청주시 서원구 2순환로 1464 1층,36.6083328,127.4439333,2,yes,yes,청주 오복누룽지삼계탕,region=청주; other candidates: 오복누룽지삼계탕 청주강내점
pending,오복누룽지삼계탕청주강내점,오복누룽지삼계탕 청주강내점,오복누룽지삼계탕 청주강내점,2026-07,1,오복누룽지삼계탕 청주강내점,"한식>백숙,삼계탕",충청북도 청주시 흥덕구 강내면 월곡리 74-1,충청북도 청주시 흥덕구 강내면 상월곡길 61,36.6186107,127.3726876,1,yes,yes,청주 오복누룽지삼계탕청주강내점,region=청주
pending,와우담,와우담,와우담,2026-07,1,와우담,한식>소고기구이,"충청북도 청주시 흥덕구 오송읍 연제리 829 1층, 2층","충청북도 청주시 흥덕구 오송읍 오송생명3로 155 1층, 2층",36.6243969,127.3254563,1,yes,yes,청주 와우담,region=청주
pending,우공뭉티기(수서점),우공뭉티기(수서점),우공뭉티기(수서점),2026-07,1,,,,,,,0,,,우공뭉티기(수서점),no geocoding hit
pending,위드쿠잉,위드쿠잉,위드쿠잉,2026-07,1,브런치레스토랑카페 위드쿠잉,음식점>양식,충청북도 청주시 흥덕구 지동동 488-1,충청북도 청주시 흥덕구 동촌로28번길 28,36.6489325,127.4084843,2,yes,yes,청주 위드쿠잉,region=청주; other candidates: 브런치카페 위드쿠잉주차장
pending,이디야청주강내점,이디야 청주강내점,이디야 청주강내점,2026-07,1,이디야커피 청주강내점,"카페,디저트>카페",충청북도 청주시 흥덕구 강내면 월곡리 228-13 1층 1호,충청북도 청주시 흥덕구 강내면 탑연월곡길 71 1층 1호,36.6232023,127.3640627,1,yes,yes,청주 이디야청주강내점,region=청주
pending,이디야청주역점,이디야 청주역점,이디야 청주역점,2026-07,1,,,,,,,0,,,이디야청주역점,no geocoding hit
pending,이디야커피청주강내점,이디야커피 청주강내점,이디야커피 청주강내점,2026-07,1,이디야커피 청주강내점,"카페,디저트>카페",충청북도 청주시 흥덕구 강내면 월곡리 228-13 1층 1호,충청북도 청주시 흥덕구 강내면 탑연월곡길 71 1층 1호,36.6232023,127.3640627,1,yes,yes,청주 이디야커피청주강내점,region=청주
pending,이자카야탕,이자카야탕,이자카야탕,2026-07,1,이자카야 탕 오송본점,술집>이자카야,충청북도 청주시 흥덕구 오송읍 봉산리 1173 1층 이자카야 탕 오송본점,충청북도 청주시 흥덕구 오송읍 봉산2길 45-3 1층 이자카야 탕 오송본점,36.62187,127.3194397,1,yes,yes,청주 이자카야탕,region=청주
pending,주문진물회,주문진물회,주문진물회,2026-07,1,주문진 물회 탕구이,한식>생선구이,충청북도 청주시 흥덕구 오송읍 만수리 754,충청북도 청주시 흥덕구 오송읍 만수길 20,36.6238898,127.3273156,1,yes,yes,청주 주문진물회,region=청주
pending,청주강내파리바게뜨,청주강내 파리바게뜨,청주강내 파리바게뜨,2026-07,1,파리바게뜨 청주강내점,"카페,디저트>베이커리",충청북도 청주시 흥덕구 강내면 탑연리 171-3 1층,충청북도 청주시 흥덕구 강내면 가로수로 534 1층,36.6235472,127.3594046,1,yes,yes,청주 청주강내파리바게뜨,region=청주
pending,초미락,초미락,초미락,2026-07,1,초미락,음식점>일식>일식당,충청북도 청주시 흥덕구 오송읍 봉산리 1401 1층 102호,충청북도 청주시 흥덕구 오송읍 오송생명12로 22 1층 102호,36.6198044,127.3209849,1,yes,yes,청주 초미락,region=청주
pending,충돈,충돈,충돈,2026-07,1,충돈 삼겹살 강내 교원대점,한식>돼지고기구이,충청북도 청주시 흥덕구 강내면 탑연리 279-9 1층,충청북도 청주시 흥덕구 강내면 태성탑연로 443 1층,36.6219016,127.3578954,1,yes,yes,청주 충돈,region=청주
pending,카페그니,카페그니,카페그니,2026-07,1,카페그니,"음식점>카페,디저트",충청북도 청주시 흥덕구 오송읍 쌍청리 436-16 카페그니,충청북도 청주시 흥덕구 오송읍 오송가락로 351 카페그니,36.6360276,127.3387941,1,yes,yes,청주 카페그니,region=청주
pending,캘리포니아피자키친,캘리포니아피자키친,캘리포니아피자키친,2026-07,1,캘리포니아피자키친 코엑스점,음식점>피자,서울특별시 강남구 삼성동 159 코엑스몰 1층,서울특별시 강남구 영동대로 513 코엑스몰 1층,37.5107167,127.0599663,2,no,yes,캘리포니아피자키친,outside 청주/세종/공주/대전; other candidates: 캘리포니아피자키친 서울랜드점
pending,테라로사,테라로사,테라로사,2026-07,1,테라로사 청주지웰시티점,"카페,디저트>카페",충청북도 청주시 흥덕구 복대동 3381 지웰시티몰2차 1층 테라로사,충청북도 청주시 흥덕구 대농로 47-1 지웰시티몰2차 1층 테라로사,36.6433397,127.427835,1,yes,yes,청주 테라로사,region=청주
pending,토속김치찌개,토속김치찌개,토속김치찌개,2026-07,1,토속김치찌개,"한식>찌개,전골",충청북도 청주시 흥덕구 오송읍 만수리 714 토속김치찌개,충청북도 청주시 흥덕구 오송읍 만수길 27-1 토속김치찌개,36.6244459,127.3276284,2,yes,yes,청주 토속김치찌개,region=청주; other candidates: 시골막걸리
pending,파동쭈꾸미,파동 쭈꾸미,파동 쭈꾸미,2026-07,1,파동쭈꾸미삼겹살 강내오송점,한식>주꾸미요리,충청북도 청주시 흥덕구 강내면 탑연리 306-2 1층 (사무소 입구),충청북도 청주시 흥덕구 강내면 태성탑연로 435 1층 (강내면사무소 입구),36.6211509,127.3582062,1,yes,yes,청주 파동쭈꾸미,region=청주
pending,파리바게뜨시흥은계점,파리바게뜨 시흥은계점,파리바게뜨 시흥은계점,2026-07,1,파리바게뜨 시흥은계점,"카페,디저트>베이커리",경기도 시흥시 은행동 645-1 645-1 103-105호,경기도 시흥시 은계번영길 2 (은행동 645-1) 103-105호,37.4365067,126.8021182,1,no,yes,파리바게뜨시흥은계점,outside 청주/세종/공주/대전
pending,파리바게뜨오송파라곤점,파리바게뜨 오송파라곤점,파리바게뜨 오송파라곤점,2026-07,1,파리바게뜨 오송파라곤점,"카페,디저트>베이커리","충청북도 청주시 흥덕구 오송읍 봉산리 988 1동 101, 102호","충청북도 청주시 흥덕구 오송읍 오송생명7로 146 1동 101, 102호",36.6204509,127.3160766,1,yes,yes,청주 파리바게뜨오송파라곤점,region=청주
